Size,Sorted,Random,Reverse,Bubble,Selection,Insertion,Merge,Quick,Heap,Best
520,1,0,0,0.014160344998041788,0.009847031285365423,8.138269186019897e-05,0.0023598348100980124,0.029423252989848454,0.003173773487408956,2
520,0,1,0,0.0255903626481692,0.010660632203022638,0.012776896357536316,0.0023600185910860696,0.000976548840602239,0.0023598534365495047,4
520,0,0,1,0.032678402960300446,0.010172511140505472,0.022088420887788136,0.0023600111405054727,0.016682955125967663,0.0020345027248064675,5
530,1,0,0,0.011968092715486567,0.009973401718951285,0.00016628174071616316,0.002244028639286122,0.026928101448302575,0.0024933713547726894,2
530,0,1,0,0.0234375202909429,0.010638272508661797,0.012217435430973134,0.0025764450113824073,0.0009973619846587486,0.0024102152662074314,4
530,0,0,1,0.04263356518238149,0.013131415590326836,0.02904351214145092,0.00224401722563074,0.021110373608609463,0.0022440184938146714,3
540,1,0,0,0.015793881545195707,0.012077734921429608,8.448007944467906e-05,0.002364830068639807,0.030658800537521774,0.0027025016578468117,2
540,0,1,0,0.025338029861450194,0.011001912967578785,0.012246611311629012,0.0026182509757377006,0.0010135019147718275,0.002449341078062315,4
540,0,0,1,0.035770135312467005,0.012331123609800597,0.02449318267203666,0.002449105236981366,0.018665541829289617,0.002111706862578521,5
550,1,0,0,0.017869301263798668,0.012430883902871148,0.00017265325093137625,0.0024173286079701797,0.032174414692662696,0.004143851896675911,2
550,0,1,0,0.029091829753053782,0.011912986059873803,0.01328680396738632,0.002589804032889519,0.0011222441552093674,0.0023308129600398447,4
550,0,0,1,0.03626251088980153,0.012258293878966273,0.024906585229694515,0.0020718469145548277,0.02192677318720528,0.0031075530289286406,3
560,1,0,0,0.0184823020120685,0.012289557564124632,8.778357773684384e-05,0.0025456125816602387,0.029143282536710245,0.003072340836685695,2
560,0,1,0,0.025625970926177636,0.011499395531215024,0.019926435492011937,0.004037716415490997,0.001580096362681871,0.0034234336252962605,4
560,0,0,1,0.04822555150878563,0.014529579141166774,0.03195224853044146,0.002545660801148147,0.021857496058003287,0.0025454210431388254,5
570,1,0,0,0.017768051964896066,0.01337843894958496,0.0001785687037876674,0.0025892925262451173,0.029107161930629184,0.0027305235181535993,2
570,0,1,0,0.02776786940438407,0.012142859867640904,0.014196412222726005,0.0025000149863106864,0.000982137407575335,0.0026783602578299387,4
570,0,0,1,0.03901806150163923,0.013392861230032785,0.030757530757359097,0.002856942585536412,0.02348210334777832,0.0033930724007742745,3
580,1,0,0,0.016305068204569263,0.014625758625740228,0.00018168050189350926,0.0029069878334222836,0.03438574214314306,0.0030887487322785135,2
580,0,1,0,0.029342234134674072,0.012767999671226325,0.014444061489992364,0.0027253031730651855,0.001180920489998751,0.003088644770688789,4
580,0,0,1,0.04065352539683497,0.013444846452668656,0.027888724970263103,0.0029069822888041653,0.02343744732612787,0.002452756083288858,5
590,1,0,0,0.015440112740330442,0.013128442877143093,0.000277392257600141,0.002681403470462596,0.03619511169794749,0.0046227852973712265,2
590,0,1,0,0.043683987397413984,0.016087073546189528,0.01994044964130108,0.002866114385029268,0.0009245477484528129,0.002865905592427451,4
590,0,0,1,0.048583967445870124,0.015440071828266573,0.03127970921217337,0.0024038362785203924,0.023021411613599788,0.002588787022426989,3
600,1,0,0,0.016988579049167864,0.013083587209862399,0.0001882329044571842,0.0032941979098032757,0.03335473336369158,0.0032002954597932748,2
